,State,Compound,Low_Estimate,High_Estimate
54,AL,Imidacloprid,622.6,622.3
55,AL,Imidacloprid,1.7,5.8
56,AL,Imidacloprid,13.3,13.9
57,AL,Imidacloprid,0.8,0.8
58,AL,Imidacloprid,163.6,163.6
59,AL,Imidacloprid,337.6,337.6
60,AL,Imidacloprid,13.7,54.6
61,AL,Imidacloprid,67.6,70.6
62,AL,Imidacloprid,1.7,14.8
63,AL,Imidacloprid,2.2,28.1
64,AL,Imidacloprid,11.9,112.7
65,AL,Imidacloprid,0.3,0.3
66,AL,Imidacloprid,7.9,99.2
67,AL,Imidacloprid,1.0,1.0
68,AL,Imidacloprid,0.1,103.6
69,AL,Imidacloprid,2.0,1.9
70,AL,Imidacloprid,2.8,100.8
71,AL,Imidacloprid,3.5,37.6
72,AL,Imidacloprid,2.1,37.5
73,AL,Imidacloprid,0.2,0.2
74,AL,Imidacloprid,0.5,0.5
75,AL,Imidacloprid,34.4,34.4
76,AL,Imidacloprid,1.8,1.8
77,AL,Thiamethoxam,,24.8
78,AL,Thiamethoxam,,36.0
79,AL,Thiamethoxam,,28.4
80,AL,Thiamethoxam,,3.6
81,AL,Thiamethoxam,,1.2
82,AL,Thiamethoxam,,6.2
83,AL,Thiamethoxam,,0.0
84,AL,Thiamethoxam,,34.4
85,AL,Thiamethoxam,,0.9
86,AL,Thiamethoxam,,4.7
87,AL,Thiamethoxam,,0.2
88,AL,Thiamethoxam,,60.5
89,AL,Thiamethoxam,9.6,9.6
90,AL,Thiamethoxam,,20.6
91,AL,Thiamethoxam,,71.2
92,AL,Thiamethoxam,,2.8
93,AL,Thiamethoxam,,2.1
94,AL,Thiamethoxam,,52.3
95,AL,Thiamethoxam,,45.8
96,AL,Thiamethoxam,,0.7
97,AL,Thiamethoxam,,34.8
98,AL,Thiamethoxam,,55.1
99,AL,Thiamethoxam,,7.8
100,AL,Thiamethoxam,,15.0
101,AL,Thiamethoxam,0.6,0.6
102,AL,Thiamethoxam,,89.0
103,AL,Thiamethoxam,,2.6
104,AL,Thiamethoxam,,89.4
105,AL,Thiamethoxam,,119.8
106,AL,Thiamethoxam,,5.9
107,AL,Thiamethoxam,22.5,22.5
108,AL,Thiamethoxam,17.9,17.9
109,AL,Thiamethoxam,,3.2
110,AL,Thiamethoxam,24.6,24.6
111,AL,Thiamethoxam,,14.2
112,AL,Thiamethoxam,38.8,38.8
113,AL,Thiamethoxam,,1.1
114,AL,Thiamethoxam,0.7,0.7
115,AL,Thiamethoxam,,18.2
116,AL,Thiamethoxam,,53.9
117,AL,Thiamethoxam,,10.6
118,AL,Thiamethoxam,4.0,4.0
119,AL,Thiamethoxam,,3.4
120,AL,Thiamethoxam,,1.9
121,AL,Thiamethoxam,,19.8
122,AL,Thiamethoxam,,15.0
123,AL,Thiamethoxam,,7.6
124,AL,Thiamethoxam,,7.2
125,AL,Thiamethoxam,,2.5
126,AL,Thiamethoxam,,2.6
127,AL,Thiamethoxam,,5.4
128,AZ,Acetamiprid,9.4,9.4
129,AZ,Acetamiprid,7.4,8.3
130,AZ,Acetamiprid,3.0,3.0
131,AZ,Acetamiprid,0.0,0.0
132,AZ,Acetamiprid,34.1,34.9
133,AZ,Acetamiprid,0.2,0.2
134,AZ,Acetamiprid,14.2,14.5
135,AZ,Acetamiprid,192.2,207.8
136,AZ,Acetamiprid,3.0,3.0
137,AZ,Acetamiprid,6.6,6.6
138,AZ,Acetamiprid,20.1,20.1
139,AZ,Acetamiprid,223.6,225.9
140,AZ,Acetamiprid,1.4,1.4
141,AZ,Acetamiprid,0.8,0.8
142,AZ,Acetamiprid,545.0,783.5
143,AZ,Clothianidin,0.0,0.0
144,AZ,Clothianidin,4.7,4.7
145,AZ,Clothianidin,0.0,0.0
146,AZ,Clothianidin,0.0,0.0
147,AZ,Clothianidin,0.1,0.1
148,AZ,Clothianidin,0.0,0.0
149,AZ,Clothianidin,1.3,1.3
150,AZ,Clothianidin,23.7,26.1
151,AZ,Clothianidin,0.0,0.0
152,AZ,Clothianidin,0.0,0.0
153,AZ,Clothianidin,0.2,0.2
154,AZ,Clothianidin,27.1,29.9
155,AZ,Clothianidin,1.7,1.7
156,AZ,Clothianidin,1.7,1.7
157,AZ,Clothianidin,47.7,157.5
158,AZ,Imidacloprid,150.0,150.2
159,AZ,Imidacloprid,145.3,149.2
160,AZ,Imidacloprid,26.5,27.0
161,AZ,Imidacloprid,0.3,0.3
162,AZ,Imidacloprid,92.4,93.6
163,AZ,Imidacloprid,0.5,1.3
164,AZ,Imidacloprid,49.5,49.5
165,AZ,Imidacloprid,1294.4,1294.6
166,AZ,Imidacloprid,5.0,5.3
167,AZ,Imidacloprid,58.5,58.6
168,AZ,Imidacloprid,73.8,73.9
169,AZ,Imidacloprid,1077.7,1085.9
170,AZ,Imidacloprid,30.6,30.7
171,AZ,Imidacloprid,30.5,31.1
172,AZ,Imidacloprid,10199.8,10204.1
173,AZ,Thiamethoxam,0.9,0.9
174,AZ,Thiamethoxam,5.6,5.8
175,AZ,Thiamethoxam,0.3,0.3
176,AZ,Thiamethoxam,0.0,0.0
177,AZ,Thiamethoxam,2.1,4.2
178,AZ,Thiamethoxam,2.4,3.1
179,AZ,Thiamethoxam,59.6,72.5
180,AZ,Thiamethoxam,0.3,0.3
181,AZ,Thiamethoxam,1.0,1.1
182,AZ,Thiamethoxam,1.4,2.6
183,AZ,Thiamethoxam,29.4,43.6
184,AZ,Thiamethoxam,0.1,0.2
185,AZ,Thiamethoxam,0.2,0.3
186,AZ,Thiamethoxam,188.0,206.1
187,AR,Acetamiprid,,42.2
188,AR,Acetamiprid,,32.2
189,AR,Acetamiprid,,69.2
190,AR,Acetamiprid,,119.9
191,AR,Acetamiprid,,26.0
192,AR,Acetamiprid,,15.2
193,AR,Acetamiprid,,19.4
194,AR,Acetamiprid,,7.2
195,AR,Acetamiprid,,21.4
196,AR,Acetamiprid,,3.6
197,AR,Acetamiprid,,8.3
198,AR,Acetamiprid,,50.2
199,AR,Acetamiprid,,20.4
200,AR,Acetamiprid,,16.5
201,AR,Acetamiprid,,174.2
202,AR,Acetamiprid,,13.0
203,AR,Acetamiprid,,16.2
204,AR,Acetamiprid,,38.8
205,AR,Acetamiprid,,3.0
206,AR,Acetamiprid,,34.1
207,AR,Acetamiprid,,16.9
208,AR,Clothianidin,,119.8
209,AR,Clothianidin,,207.6
210,AR,Clothianidin,,45.0
211,AR,Clothianidin,,26.3
212,AR,Clothianidin,,37.1
213,AR,Clothianidin,,6.2
214,AR,Clothianidin,,87.0
215,AR,Clothianidin,,28.7
216,AR,Clothianidin,,301.6
217,AR,Clothianidin,,22.6
218,AR,Clothianidin,,28.0
219,AR,Clothianidin,,67.1
220,AR,Clothianidin,,5.2
221,AR,Clothianidin,,59.0
222,AR,Clothianidin,,29.3
223,AR,Imidacloprid,77.8,77.8
224,AR,Imidacloprid,92.3,146.3
225,AR,Imidacloprid,,0.9
226,AR,Imidacloprid,75.1,229.1
227,AR,Imidacloprid,7.1,7.1
228,AR,Imidacloprid,328.2,384.7
229,AR,Imidacloprid,0.1,0.1
230,AR,Imidacloprid,0.0,0.0
231,AR,Imidacloprid,,8.1
232,AR,Imidacloprid,568.6,635.5
233,AR,Imidacloprid,0.0,9.4
234,AR,Imidacloprid,88.3,143.9
235,AR,Imidacloprid,66.3,98.8
236,AR,Imidacloprid,48.0,205.8
237,AR,Imidacloprid,17.1,52.2
238,AR,Imidacloprid,,2.6
239,AR,Imidacloprid,,1.3
240,AR,Imidacloprid,,0.1
241,AR,Imidacloprid,101.5,133.3
242,AR,Imidacloprid,1.5,1.8
243,AR,Imidacloprid,,0.2
244,AR,Imidacloprid,0.1,0.1
245,AR,Imidacloprid,,13.7
246,AR,Imidacloprid,17.1,71.8
247,AR,Imidacloprid,19.0,119.5
248,AR,Imidacloprid,,0.9
249,AR,Imidacloprid,5.3,31.5
250,AR,Imidacloprid,,24.2
251,AR,Imidacloprid,63.8,171.4
252,AR,Imidacloprid,47.3,120.6
253,AR,Imidacloprid,621.6,632.4
254,AR,Imidacloprid,,4.9
255,AR,Imidacloprid,54.2,89.6
256,AR,Imidacloprid,9.3,25.6
257,AR,Imidacloprid,826.1,967.7
258,AR,Imidacloprid,48.9,76.8
259,AR,Imidacloprid,0.1,0.1
260,AR,Imidacloprid,,0.7
261,AR,Imidacloprid,97.7,132.3
262,AR,Imidacloprid,183.8,271.6
263,AR,Imidacloprid,,6.1
264,AR,Imidacloprid,50.3,56.7
265,AR,Imidacloprid,,9.2
266,AR,Imidacloprid,,17.1
267,AR,Imidacloprid,60.9,133.8
268,AR,Imidacloprid,,0.1
269,AR,Imidacloprid,,2.4
270,AR,Imidacloprid,0.0,0.0
271,AR,Imidacloprid,0.0,0.0
272,AR,Imidacloprid,,0.0
273,AR,Imidacloprid,,15.5
274,AR,Imidacloprid,59.0,95.1
275,AR,Imidacloprid,,5.8
276,AR,Thiamethoxam,23.5,23.5
277,AR,Thiamethoxam,68.4,79.7
278,AR,Thiamethoxam,0.9,0.9
279,AR,Thiamethoxam,0.0,0.0
280,AR,Thiamethoxam,0.0,0.0
281,AR,Thiamethoxam,52.2,84.3
282,AR,Thiamethoxam,3.7,3.7
283,AR,Thiamethoxam,502.0,502.0
284,AR,Thiamethoxam,0.0,0.0
285,AR,Thiamethoxam,,3.7
286,AR,Thiamethoxam,850.9,850.9
287,AR,Thiamethoxam,,3.5
288,AR,Thiamethoxam,244.3,244.3
289,AR,Thiamethoxam,147.2,147.2
290,AR,Thiamethoxam,31.4,64.4
291,AR,Thiamethoxam,11.7,19.1
292,AR,Thiamethoxam,,1.2
293,AR,Thiamethoxam,,0.5
294,AR,Thiamethoxam,,0.0
295,AR,Thiamethoxam,163.8,163.8
296,AR,Thiamethoxam,,0.1
297,AR,Thiamethoxam,,0.1
298,AR,Thiamethoxam,8.2,8.2
299,AR,Thiamethoxam,57.2,57.2
300,AR,Thiamethoxam,13.5,34.5
301,AR,Thiamethoxam,,0.3
302,AR,Thiamethoxam,,13.2
303,AR,Thiamethoxam,14.5,14.5
304,AR,Thiamethoxam,440.2,440.2
305,AR,Thiamethoxam,33.2,48.5
306,AR,Thiamethoxam,,2.8
307,AR,Thiamethoxam,,1.8
308,AR,Thiamethoxam,155.0,155.0
309,AR,Thiamethoxam,0.0,0.0
310,AR,Thiamethoxam,,4.2
311,AR,Thiamethoxam,1263.0,1263.0
312,AR,Thiamethoxam,123.9,123.9
313,AR,Thiamethoxam,,0.3
314,AR,Thiamethoxam,165.1,165.1
315,AR,Thiamethoxam,314.8,314.8
316,AR,Thiamethoxam,,2.2
317,AR,Thiamethoxam,40.3,40.3
318,AR,Thiamethoxam,,4.2
319,AR,Thiamethoxam,10.3,10.3
320,AR,Thiamethoxam,303.8,303.8
321,AR,Thiamethoxam,,0.0
322,AR,Thiamethoxam,,0.9
323,AR,Thiamethoxam,0.1,0.1
324,AR,Thiamethoxam,9.3,9.3
325,AR,Thiamethoxam,159.4,159.4
326,AR,Thiamethoxam,,2.1
327,CO,Imidacloprid,369.0,369.0
328,CO,Imidacloprid,,994.7
329,CO,Imidacloprid,148.5,148.5
330,CO,Imidacloprid,0.0,0.0
331,CO,Imidacloprid,,0.2
332,CO,Imidacloprid,1.8,1.8
333,CO,Imidacloprid,0.4,0.4
334,CO,Imidacloprid,,0.0
335,CO,Imidacloprid,,185.8
336,CO,Imidacloprid,,0.0
337,CO,Imidacloprid,16.3,16.3
338,CO,Imidacloprid,9.9,9.9
339,CO,Imidacloprid,0.1,0.1
340,CO,Imidacloprid,0.3,0.3
341,CO,Imidacloprid,0.0,0.0
342,CO,Imidacloprid,80.0,80.0
343,CO,Imidacloprid,0.2,0.2
344,CO,Imidacloprid,1.6,1.6
345,CO,Imidacloprid,0.1,0.1
346,CO,Imidacloprid,0.1,0.1
347,CO,Imidacloprid,0.1,0.1
348,CO,Imidacloprid,,0.2
349,CO,Imidacloprid,,0.7
350,CO,Imidacloprid,0.2,0.2
351,CO,Imidacloprid,2.2,2.2
352,CO,Imidacloprid,,0.2
353,CO,Imidacloprid,0.5,0.5
354,CO,Imidacloprid,40.1,40.1
355,CO,Imidacloprid,0.4,0.4
356,CO,Imidacloprid,2.0,2.0
357,CO,Imidacloprid,6.3,6.1
358,CO,Imidacloprid,0.1,0.1
359,CO,Imidacloprid,,0.0
360,CO,Imidacloprid,304.7,304.9
361,CO,Imidacloprid,0.0,0.0
362,CO,Imidacloprid,0.3,0.3
363,CO,Imidacloprid,,841.7
364,CO,Imidacloprid,0.5,0.5
365,CO,Imidacloprid,,825.3
366,CO,Imidacloprid,0.1,0.1
367,CO,Imidacloprid,71.5,71.5
368,CO,Imidacloprid,,0.7
369,CO,Imidacloprid,129.0,129.0
370,CO,Imidacloprid,530.9,532.1
371,CO,Thiamethoxam,57.5,57.5
372,CO,Thiamethoxam,0.0,0.0
373,CO,Thiamethoxam,,0.1
374,CO,Thiamethoxam,0.4,0.4
375,CO,Thiamethoxam,0.0,0.0
376,CO,Thiamethoxam,0.0,0.0
377,CO,Thiamethoxam,10.7,10.7
378,CO,Thiamethoxam,,0.0
379,CO,Thiamethoxam,0.1,0.1
380,CO,Thiamethoxam,0.0,0.0
381,CO,Thiamethoxam,0.0,0.0
382,CO,Thiamethoxam,0.0,0.0
383,CO,Thiamethoxam,0.0,0.0
384,CO,Thiamethoxam,0.0,0.0
385,CO,Thiamethoxam,0.0,0.0
386,CO,Thiamethoxam,,0.0
387,CO,Thiamethoxam,,0.2
388,CO,Thiamethoxam,0.0,0.0
389,CO,Thiamethoxam,0.5,0.5
390,CO,Thiamethoxam,,0.0
391,CO,Thiamethoxam,0.1,0.3
392,CO,Thiamethoxam,0.1,0.1
393,CO,Thiamethoxam,0.0,0.0
394,CO,Thiamethoxam,0.0,0.0
395,CO,Thiamethoxam,0.3,0.3
396,CO,Thiamethoxam,0.0,0.0
397,CO,Thiamethoxam,,0.0
398,CO,Thiamethoxam,,0.0
399,CO,Thiamethoxam,0.0,0.0
400,CO,Thiamethoxam,0.0,0.0
401,CO,Thiamethoxam,48.7,48.7
402,CO,Thiamethoxam,0.0,0.0
403,CO,Thiamethoxam,47.7,47.7
404,CO,Thiamethoxam,0.0,0.0
405,CO,Thiamethoxam,17.5,14.7
406,CO,Thiamethoxam,,0.2
407,CO,Thiamethoxam,31.7,25.6
408,CO,Thiamethoxam,,0.3
409,CT,Acetamiprid,5.7,5.7
410,CT,Acetamiprid,41.5,41.5
411,CT,Acetamiprid,19.8,19.8
412,CT,Acetamiprid,12.9,12.9
413,CT,Acetamiprid,28.5,28.5
414,CT,Acetamiprid,8.4,8.4
415,CT,Acetamiprid,15.0,15.0
416,CT,Acetamiprid,16.4,16.4
417,CT,Clothianidin,,0.0
418,CT,Clothianidin,,0.3
419,CT,Clothianidin,,0.0
420,CT,Clothianidin,,0.0
421,CT,Clothianidin,,0.2
422,CT,Clothianidin,,0.0
423,CT,Clothianidin,,0.1
424,CT,Clothianidin,,0.0
425,CT,Imidacloprid,4.6,4.6
426,CT,Imidacloprid,56.1,56.1
427,CT,Imidacloprid,18.4,18.4
428,CT,Imidacloprid,5.9,5.9
429,CT,Imidacloprid,24.4,24.4
430,CT,Imidacloprid,5.5,5.5
431,CT,Imidacloprid,21.3,21.3
432,CT,Imidacloprid,7.5,7.5
433,CT,Thiacloprid,0.4,0.4
434,CT,Thiacloprid,2.2,2.2
435,CT,Thiacloprid,1.0,1.0
436,CT,Thiacloprid,0.7,0.7
437,CT,Thiacloprid,1.7,1.7
438,CT,Thiacloprid,0.6,0.6
439,CT,Thiacloprid,0.7,0.7
440,CT,Thiacloprid,1.0,1.0
441,CT,Thiamethoxam,0.7,0.7
442,CT,Thiamethoxam,5.4,5.4
443,CT,Thiamethoxam,2.7,2.7
444,CT,Thiamethoxam,1.0,1.0
445,CT,Thiamethoxam,1.9,1.9
446,CT,Thiamethoxam,1.0,1.0
447,CT,Thiamethoxam,2.2,2.2
448,CT,Thiamethoxam,1.4,1.4
449,DE,Acetamiprid,0.2,0.2
450,DE,Imidacloprid,36.3,36.3
451,DE,Thiacloprid,0.0,0.0
452,DE,Thiamethoxam,0.0,0.0
453,FL,Acetamiprid,1.0,1.5
454,FL,Acetamiprid,0.2,0.3
455,FL,Acetamiprid,3.3,3.3
456,FL,Acetamiprid,0.3,0.4
457,FL,Acetamiprid,3.0,5.1
458,FL,Acetamiprid,0.0,0.0
459,FL,Acetamiprid,,0.0
460,FL,Acetamiprid,72.1,76.6
461,FL,Acetamiprid,0.3,0.3
462,FL,Acetamiprid,6.5,7.0
463,FL,Acetamiprid,0.1,0.1
464,FL,Acetamiprid,,0.1
465,FL,Acetamiprid,1.2,1.8
466,FL,Acetamiprid,5.2,5.2
467,FL,Acetamiprid,6.8,10.7
468,FL,Acetamiprid,30.6,30.6
469,FL,Acetamiprid,0.1,0.1
470,FL,Acetamiprid,3.5,9.8
471,FL,Acetamiprid,213.1,238.4
472,FL,Acetamiprid,6.1,11.2
473,FL,Acetamiprid,0.2,0.2
474,FL,Acetamiprid,2.1,4.6
475,FL,Acetamiprid,2.4,3.8
476,FL,Acetamiprid,,0.0
477,FL,Acetamiprid,78.5,82.9
478,FL,Acetamiprid,1.0,1.3
479,FL,Acetamiprid,5.3,9.6
480,FL,Acetamiprid,17.2,18.5
481,FL,Acetamiprid,0.1,0.1
482,FL,Acetamiprid,2.2,2.2
483,FL,Acetamiprid,1.3,2.9
484,FL,Acetamiprid,0.4,0.7
485,FL,Acetamiprid,152.2,152.2
486,FL,Acetamiprid,0.9,1.0
487,FL,Acetamiprid,10.6,19.7
488,FL,Acetamiprid,0.2,1.0
489,FL,Acetamiprid,1.2,2.7
490,FL,Acetamiprid,,2.3
491,FL,Acetamiprid,0.2,0.2
492,FL,Acetamiprid,0.7,0.9
493,FL,Acetamiprid,0.1,0.1
494,FL,Acetamiprid,2.5,2.5
495,FL,Acetamiprid,0.2,0.5
496,FL,Acetamiprid,0.2,0.4
497,FL,Clothianidin,,0.0
498,FL,Clothianidin,0.2,0.2
499,FL,Clothianidin,0.3,0.3
500,FL,Clothianidin,,0.0
501,FL,Clothianidin,0.3,0.3
502,FL,Clothianidin,0.0,0.0
503,FL,Clothianidin,0.8,0.8
504,FL,Clothianidin,2.9,2.9
505,FL,Clothianidin,,0.0
506,FL,Clothianidin,,0.0
507,FL,Clothianidin,4.7,4.7
508,FL,Clothianidin,0.1,0.1
509,FL,Clothianidin,14.4,14.4
510,FL,Clothianidin,0.1,0.1
511,FL,Clothianidin,0.0,0.0
512,FL,Clothianidin,2.0,2.0
513,FL,Clothianidin,,0.0
514,FL,Clothianidin,1.0,1.0
515,FL,Clothianidin,,0.0
516,FL,Clothianidin,2.9,2.9
517,FL,Clothianidin,0.0,0.0
518,FL,Clothianidin,11.0,11.0
519,FL,Clothianidin,29.3,29.3
520,FL,Clothianidin,,0.3
521,FL,Clothianidin,14.0,14.0
522,FL,Clothianidin,,2.2
523,FL,Clothianidin,2.7,2.7
524,FL,Clothianidin,7.0,7.0
525,FL,Clothianidin,5.3,5.3
526,FL,Clothianidin,15.3,15.3
527,FL,Clothianidin,,3.0
528,FL,Clothianidin,2.6,2.6
529,FL,Clothianidin,0.7,0.7
530,FL,Clothianidin,,0.0
531,FL,Clothianidin,0.0,0.0
532,FL,Clothianidin,0.5,0.5
533,FL,Clothianidin,4.5,4.5
534,FL,Clothianidin,,0.4
535,FL,Clothianidin,6.6,6.6
536,FL,Clothianidin,0.1,0.1
537,FL,Clothianidin,0.0,0.0
538,FL,Clothianidin,5.9,5.9
539,FL,Clothianidin,1.7,1.7
540,FL,Clothianidin,,1.6
541,FL,Clothianidin,,1.8
542,FL,Clothianidin,0.3,0.3
543,FL,Clothianidin,,1.7
544,FL,Clothianidin,,0.0
545,FL,Clothianidin,,22.6
546,FL,Clothianidin,,0.1
547,FL,Clothianidin,,0.0
548,FL,Clothianidin,7.8,7.8
549,FL,Clothianidin,5.1,5.1
550,FL,Clothianidin,0.1,0.1
551,FL,Clothianidin,,0.2
552,FL,Clothianidin,,0.0
553,FL,Clothianidin,0.1,0.1
554,FL,Clothianidin,,0.4
555,FL,Clothianidin,0.3,0.3
556,FL,Clothianidin,13.5,13.5
557,FL,Clothianidin,0.9,0.9
558,FL,Imidacloprid,84.7,102.5
559,FL,Imidacloprid,4.9,5.4
560,FL,Imidacloprid,1.4,1.4
561,FL,Imidacloprid,0.8,2.7
562,FL,Imidacloprid,97.3,105.6
563,FL,Imidacloprid,1.4,2.2
564,FL,Imidacloprid,30.3,58.5
565,FL,Imidacloprid,639.2,706.7
566,FL,Imidacloprid,4.8,6.3
567,FL,Imidacloprid,1.0,1.2
568,FL,Imidacloprid,1413.5,1477.5
569,FL,Imidacloprid,23.2,59.0
570,FL,Imidacloprid,2808.4,2825.5
571,FL,Imidacloprid,7.0,10.3
572,FL,Imidacloprid,25.4,26.0
573,FL,Imidacloprid,38.4,96.8
574,FL,Imidacloprid,14.4,16.2
575,FL,Imidacloprid,9.1,19.3
576,FL,Imidacloprid,121.0,138.9
577,FL,Imidacloprid,564.1,570.6
578,FL,Imidacloprid,0.1,0.1
579,FL,Imidacloprid,18.1,65.3
580,FL,Imidacloprid,2171.3,2227.2
581,FL,Imidacloprid,6177.5,6226.8
582,FL,Imidacloprid,33.6,34.9
583,FL,Imidacloprid,2768.3,2821.5
584,FL,Imidacloprid,942.0,964.1
585,FL,Imidacloprid,24.5,64.3
586,FL,Imidacloprid,2865.5,2875.0
587,FL,Imidacloprid,119.8,418.4
588,FL,Imidacloprid,81.7,93.5
589,FL,Imidacloprid,6.7,29.5
590,FL,Imidacloprid,419.5,474.2
591,FL,Imidacloprid,566.0,581.3
592,FL,Imidacloprid,3.6,3.6
593,FL,Imidacloprid,229.6,238.0
594,FL,Imidacloprid,0.2,0.2
595,FL,Imidacloprid,19.1,59.8
596,FL,Imidacloprid,2344.8,2394.3
597,FL,Imidacloprid,146.9,158.0
598,FL,Imidacloprid,1289.1,1329.0
599,FL,Imidacloprid,812.8,835.5
600,FL,Imidacloprid,6.1,6.4
601,FL,Imidacloprid,32.6,51.2
602,FL,Imidacloprid,495.9,499.7
603,FL,Imidacloprid,229.1,240.5
604,FL,Imidacloprid,258.6,268.7
605,FL,Imidacloprid,758.4,863.2
606,FL,Imidacloprid,227.9,232.8
607,FL,Imidacloprid,0.2,0.2
608,FL,Imidacloprid,2961.2,3203.3
609,FL,Imidacloprid,49.6,51.7
610,FL,Imidacloprid,159.5,268.2
611,FL,Imidacloprid,3286.5,3299.8
612,FL,Imidacloprid,62.4,248.5
613,FL,Imidacloprid,44.2,46.2
614,FL,Imidacloprid,21.0,22.9
615,FL,Imidacloprid,11.3,12.0
616,FL,Imidacloprid,91.0,173.0
617,FL,Imidacloprid,1.7,2.2
618,FL,Imidacloprid,6.7,9.1
619,FL,Imidacloprid,45.2,53.8
620,FL,Imidacloprid,1.4,1.4
621,FL,Imidacloprid,76.7,118.5
622,FL,Imidacloprid,13.7,48.4
623,FL,Thiamethoxam,29.2,31.0
624,FL,Thiamethoxam,0.6,0.8
625,FL,Thiamethoxam,1.4,1.6
626,FL,Thiamethoxam,18.7,21.2
627,FL,Thiamethoxam,0.7,0.7
628,FL,Thiamethoxam,,23.0
629,FL,Thiamethoxam,193.0,195.4
630,FL,Thiamethoxam,1.9,2.2
631,FL,Thiamethoxam,0.4,0.4
632,FL,Thiamethoxam,252.9,258.2
633,FL,Thiamethoxam,4.3,5.5
634,FL,Thiamethoxam,492.5,492.5
635,FL,Thiamethoxam,4.8,5.2
636,FL,Thiamethoxam,0.2,0.3
637,FL,Thiamethoxam,,24.7
638,FL,Thiamethoxam,5.0,5.0
639,FL,Thiamethoxam,,3.3
640,FL,Thiamethoxam,25.8,27.4
641,FL,Thiamethoxam,106.9,106.9
642,FL,Thiamethoxam,4.5,5.0
643,FL,Thiamethoxam,403.7,408.2
644,FL,Thiamethoxam,1075.2,1075.2
645,FL,Thiamethoxam,7.5,7.7
646,FL,Thiamethoxam,491.4,491.4
647,FL,Thiamethoxam,567.6,570.4
648,FL,Thiamethoxam,,9.0
649,FL,Thiamethoxam,600.4,600.4
650,FL,Thiamethoxam,,79.8
651,FL,Thiamethoxam,,3.9
652,FL,Thiamethoxam,7.0,7.8
653,FL,Thiamethoxam,191.6,202.8
654,FL,Thiamethoxam,101.3,102.9
655,FL,Thiamethoxam,108.2,110.1
656,FL,Thiamethoxam,14.0,14.5
657,FL,Thiamethoxam,187.8,192.9
658,FL,Thiamethoxam,25.9,26.5
659,FL,Thiamethoxam,228.0,232.9
660,FL,Thiamethoxam,66.3,66.3
661,FL,Thiamethoxam,0.5,0.6
662,FL,Thiamethoxam,,6.0
663,FL,Thiamethoxam,67.6,69.3
664,FL,Thiamethoxam,111.9,113.0
665,FL,Thiamethoxam,97.7,98.7
666,FL,Thiamethoxam,243.8,243.8
667,FL,Thiamethoxam,70.5,71.2
668,FL,Thiamethoxam,0.0,0.0
669,FL,Thiamethoxam,930.9,982.7
670,FL,Thiamethoxam,25.0,25.2
671,FL,Thiamethoxam,123.1,123.1
672,FL,Thiamethoxam,688.4,688.4
673,FL,Thiamethoxam,,33.9
674,FL,Thiamethoxam,7.9,7.9
675,FL,Thiamethoxam,6.8,7.1
676,FL,Thiamethoxam,5.9,6.1
677,FL,Thiamethoxam,53.5,60.1
678,FL,Thiamethoxam,0.1,0.2
679,FL,Thiamethoxam,11.3,11.3
